,doc_id,maturity,vol_1,vol_1_type,price_1,price_1_type,price_2,price_2_type,price_3,price_3_type,product_type,instrument_type,old_maturity,red_flag,additional
7,CHK20140227,long-term,0.7,mmbbl,89.47,"weighted average price,fixed,",,,,,oil,swaps,long-term,,
9,CHK20140227,short-term,13.4,mmbbl,96.11,",weighted average price,call,($ per bbl)",,,,,oil,call options (sold),short-term,,
10,CHK20140227,long-term,48.9,mmbbl,100.26,",weighted average price,call,($ per bbl)",,,,,oil,call options (sold),long-term,,
12,CHK20140227,short-term,neg10.9,mmbbl,98.97,",weighted average price,call,($ per bbl)",,,,,oil,call options (bought)(b),short-term,,
13,CHK20140227,long-term,neg8.9,mmbbl,113.54,",weighted average price,call,($ per bbl)",,,,,oil,call options (bought)(b),long-term,,
15,CHK20140227,short-term,0.4,mmbbl,6.00,"weighted average price,differential",,,,,oil,basis protection swaps,short-term,,
6,CHK20150227,short-term,12.5,mmbbl,$94.58,"weighted average price,fixed,",,,,,oil,swaps,short-term,,
8,CHK20150227,short-term,4.4,mmbbl,98.94,",weighted average price,call,($ per bbl)",80.00 / 90.00,",weighted average price,put,($ per bbl)",,,oil,3-way collars,short-term,,
11,CHK20150227,short-term,20.5,mmbbl,101.85,",weighted average price,call,($ per bbl)",,",weighted average price,put,($ per bbl)",,,oil,call options (sold),short-term,,
12,CHK20150227,long-term,24.2,mmbbl,100.07,",weighted average price,call,($ per bbl)",,",weighted average price,put,($ per bbl)",,,oil,call options (sold),long-term,,
14,CHK20150227,short-term,neg8.9,mmbbl,113.54,",weighted average price,call,($ per bbl)",,",weighted average price,put,($ per bbl)",,,oil,call options (bought)(a),short-term,,
6,CHK20150227,short-term,238,tbtu,$4.14,fixed($ per mmbtu),,,,,natural gas,swaps,short-term,,
7,CHK20150227,long-term,37,tbtu,3.95,fixed($ per mmbtu),,,,,natural gas,swaps,long-term,,
9,CHK20150227,short-term,207,tbtu,4.51,call($ per mmbtu),3.37 / 4.29,",weighted average price,put,($ per mmbtu)",,,natural gas,3-way collars,short-term,,
11,CHK20150227,short-term,226,tbtu,6.31,call($ per mmbtu),,",weighted average price,put,($ per mmbtu)",,,natural gas,call options (sold),short-term,,
12,CHK20150227,long-term,393,tbtu,7.93,call($ per mmbtu),,",weighted average price,put,($ per mmbtu)",,,natural gas,call options (sold),long-term,,
14,CHK20150227,short-term,neg226,tbtu,6.31,call($ per mmbtu),,",weighted average price,put,($ per mmbtu)",,,natural gas,call options (bought)(b),short-term,,
15,CHK20150227,long-term,neg200,tbtu,6.02,call($ per mmbtu),,",weighted average price,put,($ per mmbtu)",,,natural gas,call options (bought)(b),long-term,,
17,CHK20150227,short-term,52,tbtu,0.55,differential($ per mmbtu),,,,,natural gas,basis protection swaps,short-term,,
18,CHK20150227,long-term,8,tbtu,neg1.02,differential($ per mmbtu),,,,,natural gas,basis protection swaps,long-term,,
6,CHK20160225,short-term,13.5,mmbbl,$52.05,"weighted average price,fixed,",,,,,oil,swaps(a),short-term,,
17,CHK20160225,short-term,500,tbtu,$2.94,fixed($ per mmbtu),,,,,natural gas,swaps(b),short-term,,
8,CHK20160225,short-term,13.9,mmbbl,87.25,",weighted average price,call,($ per bbl)",,,,,oil,call options (sold),short-term,,
9,CHK20160225,long-term,5.3,mmbbl,83.50,",weighted average price,call,($ per bbl)",,,,,oil,call options (sold),long-term,,
19,CHK20160225,short-term,381,tbtu,5.66,call($ per mmbtu),,,,,natural gas,call options (sold),short-term,,
20,CHK20160225,long-term,114,tbtu,10.92,call($ per mmbtu),,,,,natural gas,call options (sold),long-term,,
22,CHK20160225,short-term,neg200,tbtu,6.02,call($ per mmbtu),,,,,natural gas,call options (bought)(c),short-term,,
24,CHK20160225,short-term,33,tbtu,0.17,differential($ per mmbtu),,,,,natural gas,basis protection swaps,short-term,,
25,CHK20160225,long-term,24,tbtu,neg0.48,differential($ per mmbtu),,,,,natural gas,basis protection swaps,long-term,,
